0.000000000000000000e+00,1.670000000000000000e+02
2.070000000000000000e+03,2.239000000000000000e+03
3.726000000000000000e+03,3.896000000000000000e+03
5.213000000000000000e+03,5.335000000000000000e+03
6.561000000000000000e+03,6.713000000000000000e+03
8.223000000000000000e+03,8.333000000000000000e+03
9.917000000000000000e+03,1.004800000000000000e+04
1.111200000000000000e+04,1.128100000000000000e+04
1.234400000000000000e+04,1.251300000000000000e+04
1.404200000000000000e+04,1.421300000000000000e+04
1.569400000000000000e+04,1.586500000000000000e+04
1.684200000000000000e+04,1.701100000000000000e+04
